"date","FXAUDCAD","FXCNYCAD","FXEURCAD","FXGBPCAD","FXINRCAD","FXJPYCAD","FXMXNCAD","FXUSDCAD"
"2017-01-03","0.9702","0.1930","1.3973","1.6459","0.01965","0.01140","0.06439","1.3435"
"2017-01-04","0.9678","0.1920","1.3930","1.6377","0.01959","0.01134","0.06242","1.3315"
"2017-01-05","0.9708","0.1922","1.4008","1.6400","0.01954","0.01145","0.06195","1.3244"
"2017-01-06","0.9668","0.1911","1.3953","1.6275","0.01942","0.01133","0.06213","1.3214"
"2017-01-09","0.9728","0.1907","1.3967","1.6084","0.01942","0.01138","0.06202","1.3240"
"2017-01-10","0.9732","0.1909","1.3970","1.6075","0.01936","0.01141","0.06113","1.3213"
"2017-01-11","0.9788","0.1905","1.3916","1.6056","0.01934","0.01140","0.06040","1.3250"
"2017-01-12","0.9842","0.1903","1.3966","1.6024","0.01928","0.01148","0.06041","1.3106"
"2017-01-13","0.9831","0.1903","1.3967","1.5996","0.01927","0.01144","0.06075","1.3141"
"2017-01-16","0.9837","0.1907","1.3950","1.5865","0.01932","0.01153","0.06075","1.3152"
"2017-01-17","0.9856","0.1905","1.3970","1.6160","0.01922","0.01156","0.06055","1.3057"
"2017-01-18","0.9933","0.1925","1.4052","1.6192","0.01932","0.01160","0.06033","1.3099"
"2017-01-19","1.0051","0.1938","1.4159","1.6399","0.01955","0.01157","0.06075","1.3303"
"2017-01-20","1.0066","0.1940","1.4242","1.6453","0.01959","0.01162","0.06147","1.3356"
"2017-01-23","1.0060","0.1939","1.4266","1.6584","0.01951","0.01174","0.06202","1.3291"
"2017-01-24","0.9991","0.1921","1.4156","1.6465","0.01934","0.01161","0.06163","1.3174"
"2017-01-25","0.9886","0.1901","1.4052","1.6495","0.01923","0.01152","0.06138","1.3088"
"2017-01-26","0.9878","0.1904","1.4001","1.6492","0.01923","0.01145","0.06190","1.3103"
"2017-01-27","0.9909","0.1907","1.4036","1.6469","0.01928","0.01140","0.06251","1.3123"
"2017-01-30","0.9902","0.1906","1.4002","1.6388","0.01933","0.01151","0.06318","1.3114"
"2017-01-31","0.9879","0.1894","1.4053","1.6357","0.01929","0.01155","0.06266","1.3030"
"2017-02-01","0.9896","0.1900","1.4066","1.6531","0.01939","0.01153","0.06295","1.3074"
"2017-02-02","0.9988","0.1891","1.4049","1.6329","0.01937","0.01156","0.06336","1.3016"
"2017-02-03","0.9994","0.1895","1.4022","1.6263","0.01937","0.01155","0.06386","1.3016"
"2017-02-06","1.0018","0.1909","1.4061","1.6320","0.01949","0.01168","0.06378","1.3099"
"2017-02-07","1.0047","0.1913","1.4072","1.6401","0.01955","0.01173","0.06385","1.3167"
"2017-02-08","1.0055","0.1915","1.4064","1.6479","0.01962","0.01175","0.06415","1.3157"
"2017-02-09","1.0023","0.1911","1.4003","1.6444","0.01967","0.01162","0.06431","1.3127"
