date,CAD_per_EUR
2017-01-03,1.3973
2017-01-04,1.393
2017-01-05,1.4008
2017-01-06,1.3953
2017-01-09,1.3967
2017-01-10,1.397
2017-01-11,1.3916
2017-01-12,1.3966
2017-01-13,1.3967
2017-01-16,1.395
2017-01-17,1.397
2017-01-18,1.4052
2017-01-19,1.4159
2017-01-20,1.4242
2017-01-23,1.4266
2017-01-24,1.4156
2017-01-25,1.4052
2017-01-26,1.4001
2017-01-27,1.4036
2017-01-30,1.4002
2017-01-31,1.4053
2017-02-01,1.4066
2017-02-02,1.4049
2017-02-03,1.4022
2017-02-06,1.4061
2017-02-07,1.4072
2017-02-08,1.4064
2017-02-09,1.4003
2017-02-10,1.3911
2017-02-13,1.3874
2017-02-14,1.3832
2017-02-15,1.3843
2017-02-16,1.3917
2017-02-17,1.3923
2017-02-21,1.3861
2017-02-22,1.3892
2017-02-23,1.3867
2017-02-24,1.3853
2017-02-27,1.3907
2017-02-28,1.4051
2017-03-01,1.4072
2017-03-02,1.4069
2017-03-03,1.4169
2017-03-06,1.4195
2017-03-07,1.4184
2017-03-08,1.4215
2017-03-09,1.4301
2017-03-10,1.4353
2017-03-13,1.434
2017-03-14,1.4332
2017-03-15,1.4291
2017-03-16,1.4294
2017-03-17,1.433
2017-03-20,1.4354
2017-03-21,1.4393
2017-03-22,1.4434
2017-03-23,1.4381
2017-03-24,1.4448
2017-03-27,1.4548
2017-03-28,1.45
2017-03-29,1.4375
2017-03-30,1.4255
2017-03-31,1.4222
2017-04-03,1.4272
2017-04-04,1.4311
2017-04-05,1.4296
2017-04-06,1.4292
2017-04-07,1.421
2017-04-10,1.4144
2017-04-11,1.4148
2017-04-12,1.4111
2017-04-13,1.4102
2017-04-17,1.4155
2017-04-18,1.4321
2017-04-19,1.4423
2017-04-20,1.4485
2017-04-21,1.4447
2017-04-24,1.4648
2017-04-25,1.4847
2017-04-26,1.4797
2017-04-27,1.4817
2017-04-28,1.4896
2017-05-01,1.4902
2017-05-02,1.4971
2017-05-03,1.4963
2017-05-04,1.5057
2017-05-05,1.5063
2017-05-08,1.4985
2017-05-09,1.4939
2017-05-10,1.486
2017-05-11,1.4892
2017-05-12,1.4973
2017-05-15,1.4973
2017-05-16,1.5063
