date,CAD_per_GBP
2017-01-03,1.6459
2017-01-04,1.6377
2017-01-05,1.64
2017-01-06,1.6275
2017-01-09,1.6084
2017-01-10,1.6075
2017-01-11,1.6056
2017-01-12,1.6024
2017-01-13,1.5996
2017-01-16,1.5865
2017-01-17,1.616
2017-01-18,1.6192
2017-01-19,1.6399
2017-01-20,1.6453
2017-01-23,1.6584
2017-01-24,1.6465
2017-01-25,1.6495
2017-01-26,1.6492
2017-01-27,1.6469
2017-01-30,1.6388
2017-01-31,1.6357
2017-02-01,1.6531
2017-02-02,1.6329
2017-02-03,1.6263
2017-02-06,1.632
2017-02-07,1.6401
2017-02-08,1.6479
2017-02-09,1.6444
2017-02-10,1.6327
2017-02-13,1.6366
2017-02-14,1.6294
2017-02-15,1.628
2017-02-16,1.6304
2017-02-17,1.6282
2017-02-21,1.6372
2017-02-22,1.6412
2017-02-23,1.6426
2017-02-24,1.6356
2017-02-27,1.6324
2017-02-28,1.6459
2017-03-01,1.6414
2017-03-02,1.6424
2017-03-03,1.6427
2017-03-06,1.6417
2017-03-07,1.6366
2017-03-08,1.639
2017-03-09,1.6448
2017-03-10,1.6381
2017-03-13,1.6444
2017-03-14,1.6387
2017-03-15,1.6414
2017-03-16,1.6458
2017-03-17,1.6509
2017-03-20,1.652
2017-03-21,1.661
2017-03-22,1.6654
2017-03-23,1.6689
2017-03-24,1.6701
2017-03-27,1.6823
2017-03-28,1.6723
2017-03-29,1.6601
2017-03-30,1.6607
2017-03-31,1.665
2017-04-03,1.6708
2017-04-04,1.6704
2017-04-05,1.6733
2017-04-06,1.6737
2017-04-07,1.6599
2017-04-10,1.6572
2017-04-11,1.6624
2017-04-12,1.6627
2017-04-13,1.6619
2017-04-17,1.6711
2017-04-18,1.7085
2017-04-19,1.7236
2017-04-20,1.7277
2017-04-21,1.7276
2017-04-24,1.7251
2017-04-25,1.7435
2017-04-26,1.7446
2017-04-27,1.7571
2017-04-28,1.7679
2017-05-01,1.7644
2017-05-02,1.7728
2017-05-03,1.7701
2017-05-04,1.7743
2017-05-05,1.7767
2017-05-08,1.7738
2017-05-09,1.7751
2017-05-10,1.7692
2017-05-11,1.7651
2017-05-12,1.7661
2017-05-15,1.7606
2017-05-16,1.7551
2017-05-17,1.7638
2017-05-18,1.7678
2017-05-19,1.7641
2017-05-23,1.7511
2017-05-24,1.7428
2017-05-25,1.7422
2017-05-26,1.7231
2017-05-29,1.7266
2017-05-30,1.7319
2017-05-31,1.7387
2017-06-01,1.7392
2017-06-02,1.739
2017-06-05,1.7416
2017-06-06,1.7354
2017-06-07,1.7461
2017-06-08,1.7463
2017-06-09,1.7126
2017-06-12,1.6982
2017-06-13,1.6864
2017-06-14,1.6883
2017-06-15,1.6942
2017-06-16,1.6914
2017-06-19,1.6853
2017-06-20,1.6756
2017-06-21,1.6864
2017-06-22,1.6772
2017-06-23,1.6884
2017-06-26,1.6848
2017-06-27,1.6859
2017-06-28,1.6867
2017-06-29,1.6903
2017-06-30,1.6862
2017-07-04,1.6725
2017-07-05,1.6774
2017-07-06,1.6773
2017-07-07,1.6603
2017-07-10,1.6598
2017-07-11,1.661
2017-07-12,1.6487
2017-07-13,1.6482
2017-07-14,1.6553
2017-07-17,1.6548
2017-07-18,1.6459
2017-07-19,1.6411
2017-07-20,1.6325
2017-07-21,1.6298
2017-07-24,1.6303
2017-07-25,1.6319
2017-07-26,1.6331
2017-07-27,1.6392
2017-07-28,1.6328
2017-07-31,1.6438
2017-08-01,1.6539
2017-08-02,1.6619
2017-08-03,1.6519
2017-08-04,1.6495
2017-08-08,1.6458
2017-08-09,1.6509
2017-08-10,1.6506
2017-08-11,1.6484
2017-08-14,1.6483
2017-08-15,1.6407
2017-08-16,1.6337
2017-08-17,1.629
2017-08-18,1.6197
2017-08-21,1.6222
2017-08-22,1.6102
2017-08-23,1.6078
2017-08-24,1.6047
2017-08-25,1.6072
2017-08-28,1.6135
2017-08-29,1.619
2017-08-30,1.6287
2017-08-31,1.6161
2017-09-01,1.606
2017-09-05,1.6094
2017-09-06,1.6008
2017-09-07,1.5899
2017-09-08,1.6014
2017-09-11,1.5988
2017-09-12,1.614
2017-09-13,1.6119
2017-09-14,1.632
2017-09-15,1.6541
2017-09-18,1.654
2017-09-19,1.6588
2017-09-20,1.6623
2017-09-21,1.6715
2017-09-22,1.667
2017-09-25,1.664
2017-09-26,1.662
2017-09-27,1.6631
2017-09-28,1.6728
2017-09-29,1.6716
2017-10-02,1.6601
2017-10-03,1.6557
2017-10-04,1.6553
2017-10-05,1.6476
2017-10-06,1.6383
2017-10-10,1.6504
2017-10-11,1.6506
2017-10-12,1.6471
2017-10-13,1.6606
2017-10-16,1.6627
2017-10-17,1.6538
2017-10-18,1.6459
2017-10-19,1.6435
2017-10-20,1.6615
2017-10-23,1.6683
2017-10-24,1.664
2017-10-25,1.6924
2017-10-26,1.6908
2017-10-27,1.6878
2017-10-30,1.6938
2017-10-31,1.7095
2017-11-01,1.71
2017-11-02,1.6777
2017-11-03,1.6693
2017-11-06,1.6745
2017-11-07,1.6806
2017-11-08,1.6681
2017-11-09,1.6666
2017-11-10,1.6745
2017-11-14,1.673
2017-11-15,1.682
2017-11-16,1.6813
2017-11-17,1.6882
2017-11-20,1.6939
2017-11-21,1.6918
2017-11-22,1.6914
2017-11-23,1.6919
2017-11-24,1.6947
2017-11-27,1.6989
2017-11-28,1.7028
2017-11-29,1.7245
2017-11-30,1.7404
2017-12-01,1.7166
2017-12-04,1.7115
2017-12-05,1.7039
2017-12-06,1.7068
2017-12-07,1.7245
2017-12-08,1.7229
2017-12-11,1.7165
2017-12-12,1.7151
2017-12-13,1.7181
2017-12-14,1.7193
2017-12-15,1.7102
2017-12-18,1.7231
2017-12-19,1.7222
2017-12-20,1.7211
2017-12-21,1.7021
2017-12-22,1.7067
