date,CAD_per_INR
2017-01-03,0.01965
2017-01-04,0.01959
2017-01-05,0.01954
2017-01-06,0.01942
2017-01-09,0.01942
2017-01-10,0.01936
2017-01-11,0.01934
2017-01-12,0.01928
2017-01-13,0.01927
2017-01-16,0.01932
2017-01-17,0.01922
2017-01-18,0.01932
2017-01-19,0.01955
2017-01-20,0.01959
2017-01-23,0.01951
2017-01-24,0.01934
2017-01-25,0.01923
2017-01-26,0.01923
2017-01-27,0.01928
2017-01-30,0.01933
2017-01-31,0.01929
2017-02-01,0.01939
2017-02-02,0.01937
2017-02-03,0.01937
2017-02-06,0.01949
2017-02-07,0.01955
2017-02-08,0.01962
2017-02-09,0.01967
2017-02-10,0.01957
2017-02-13,0.01953
2017-02-14,0.01955
2017-02-15,0.01957
2017-02-16,0.01947
2017-02-17,0.01953
2017-02-21,0.01963
2017-02-22,0.01968
2017-02-23,0.01966
2017-02-24,0.01964
2017-02-27,0.01967
2017-02-28,0.01987
2017-03-01,0.01995
2017-03-02,0.02004
2017-03-03,0.02007
2017-03-06,0.02011
2017-03-07,0.02014
2017-03-08,0.02018
2017-03-09,0.02027
2017-03-10,0.02022
2017-03-13,0.02032
2017-03-14,0.0205
2017-03-15,0.02046
2017-03-16,0.02037
2017-03-17,0.02038
2017-03-20,0.02044
2017-03-21,0.02039
2017-03-22,0.02041
2017-03-23,0.02037
2017-03-24,0.02045
2017-03-27,0.02057
2017-03-28,0.02056
2017-03-29,0.0206
2017-03-30,0.02051
2017-03-31,0.02052
2017-04-03,0.02059
2017-04-04,0.02063
2017-04-05,0.02067
2017-04-06,0.02078
2017-04-07,0.02084
2017-04-10,0.02067
2017-04-11,0.02066
2017-04-12,0.02056
2017-04-13,0.0206
2017-04-17,0.02059
2017-04-18,0.02071
2017-04-19,0.02083
2017-04-20,0.02086
2017-04-21,0.02089
2017-04-24,0.02092
2017-04-25,0.02113
2017-04-26,0.0212
2017-04-27,0.02125
2017-04-28,0.02125
2017-05-01,0.02125
2017-05-02,0.02138
2017-05-03,0.02137
2017-05-04,0.0214
2017-05-05,0.02132
2017-05-08,0.0213
2017-05-09,0.02123
2017-05-10,0.02118
2017-05-11,0.02128
2017-05-12,0.02135
2017-05-15,0.0213
2017-05-16,0.02123
2017-05-17,0.02123
2017-05-18,0.02098
2017-05-19,0.02098
2017-05-23,0.0208
2017-05-24,0.02079
2017-05-25,0.02084
2017-05-26,0.02086
2017-05-29,0.02083
2017-05-30,0.02083
2017-05-31,0.02093
2017-06-01,0.02095
2017-06-02,0.02096
2017-06-05,0.02095
2017-06-06,0.02089
2017-06-07,0.02095
2017-06-08,0.02102
2017-06-09,0.02094
2017-06-12,0.0208
2017-06-13,0.02057
2017-06-14,0.02056
2017-06-15,0.02057
2017-06-16,0.02052
2017-06-19,0.0205
2017-06-20,0.02056
2017-06-21,0.02063
2017-06-22,0.02049
2017-06-23,0.02057
2017-06-26,0.02054
2017-06-27,0.02045
2017-06-28,0.02024
2017-06-29,0.02013
