date,CAD_per_JPY
2017-01-03,0.0114
2017-01-04,0.01134
2017-01-05,0.01145
2017-01-06,0.01133
2017-01-09,0.01138
2017-01-10,0.01141
2017-01-11,0.0114
2017-01-12,0.01148
2017-01-13,0.01144
2017-01-16,0.01153
2017-01-17,0.01156
2017-01-18,0.0116
2017-01-19,0.01157
2017-01-20,0.01162
2017-01-23,0.01174
2017-01-24,0.01161
2017-01-25,0.01152
2017-01-26,0.01145
2017-01-27,0.0114
2017-01-30,0.01151
2017-01-31,0.01155
2017-02-01,0.01153
2017-02-02,0.01156
2017-02-03,0.01155
2017-02-06,0.01168
2017-02-07,0.01173
2017-02-08,0.01175
2017-02-09,0.01162
2017-02-10,0.01153
2017-02-13,0.0115
2017-02-14,0.01146
2017-02-15,0.01144
2017-02-16,0.01151
2017-02-17,0.01161
2017-02-21,0.01158
2017-02-22,0.01164
2017-02-23,0.01163
2017-02-24,0.01167
2017-02-27,0.01167
2017-02-28,0.01182
2017-03-01,0.01173
2017-03-02,0.0117
2017-03-03,0.01172
2017-03-06,0.01177
2017-03-07,0.01177
2017-03-08,0.01177
2017-03-09,0.01177
2017-03-10,0.01171
2017-03-13,0.01172
2017-03-14,0.01176
2017-03-15,0.01174
2017-03-16,0.01176
2017-03-17,0.01182
2017-03-20,0.01186
2017-03-21,0.01188
2017-03-22,0.01203
2017-03-23,0.01201
2017-03-24,0.01205
2017-03-27,0.01211
2017-03-28,0.01209
2017-03-29,0.01204
2017-03-30,0.01194
2017-03-31,0.01194
2017-04-03,0.01205
2017-04-04,0.01213
2017-04-05,0.01206
2017-04-06,0.0121
2017-04-07,0.01208
2017-04-10,0.01202
2017-04-11,0.01213
2017-04-12,0.01214
2017-04-13,0.01216
2017-04-17,0.01224
2017-04-18,0.01232
2017-04-19,0.01236
2017-04-20,0.01234
2017-04-21,0.01238
2017-04-24,0.01227
2017-04-25,0.01226
2017-04-26,0.01219
2017-04-27,0.01224
2017-04-28,0.01226
2017-05-01,0.01223
2017-05-02,0.01224
2017-05-03,0.0122
2017-05-04,0.0122
2017-05-05,0.01218
2017-05-08,0.01214
2017-05-09,0.01203
2017-05-10,0.01199
2017-05-11,0.01204
2017-05-12,0.01209
2017-05-15,0.01201
2017-05-16,0.01201
2017-05-17,0.01222
2017-05-18,0.01225
2017-05-19,0.01216
2017-05-23,0.01211
2017-05-24,0.01203
2017-05-25,0.01203
2017-05-26,0.0121
2017-05-29,0.01208
2017-05-30,0.01215
2017-05-31,0.01219
2017-06-01,0.01213
2017-06-02,0.01221
2017-06-05,0.0122
