date,CAD_per_MXN
2017-01-03,0.06439
2017-01-04,0.06242
2017-01-05,0.06195
2017-01-06,0.06213
2017-01-09,0.06202
2017-01-10,0.06113
2017-01-11,0.0604
2017-01-12,0.06041
2017-01-13,0.06075
2017-01-16,0.06075
2017-01-17,0.06055
2017-01-18,0.06033
2017-01-19,0.06075
2017-01-20,0.06147
2017-01-23,0.06202
2017-01-24,0.06163
2017-01-25,0.06138
2017-01-26,0.0619
2017-01-27,0.06251
2017-01-30,0.06318
2017-01-31,0.06266
2017-02-01,0.06295
2017-02-02,0.06336
2017-02-03,0.06386
2017-02-06,0.06378
2017-02-07,0.06385
2017-02-08,0.06415
2017-02-09,0.06431
2017-02-10,0.06435
2017-02-13,0.06437
2017-02-14,0.06438
2017-02-15,0.06443
2017-02-16,0.06423
2017-02-17,0.06407
2017-02-21,0.06463
2017-02-22,0.06609
2017-02-23,0.06657
2017-02-24,0.06609
2017-02-27,0.06609
2017-02-28,0.06623
2017-03-01,0.06704
2017-03-02,0.06708
2017-03-03,0.06843
2017-03-06,0.06861
2017-03-07,0.06884
2017-03-08,0.06866
2017-03-09,0.06826
2017-03-10,0.06853
2017-03-13,0.06866
2017-03-14,0.06857
2017-03-15,0.06902
2017-03-16,0.06953
2017-03-17,0.06972
2017-03-20,0.0701
2017-03-21,0.06984
2017-03-22,0.06998
2017-03-23,0.0702
2017-03-24,0.07098
2017-03-27,0.07086
2017-03-28,0.07078
2017-03-29,0.07101
2017-03-30,0.07114
2017-03-31,0.07092
2017-04-03,0.07148
2017-04-04,0.07123
2017-04-05,0.07159
2017-04-06,0.07149
2017-04-07,0.07175
2017-04-10,0.07144
2017-04-11,0.07111
2017-04-12,0.07098
2017-04-13,0.07149
2017-04-17,0.07168
2017-04-18,0.07228
2017-04-19,0.0716
2017-04-20,0.07169
2017-04-21,0.07169
2017-04-24,0.0723
2017-04-25,0.07188
2017-04-26,0.07114
2017-04-27,0.07153
2017-04-28,0.07218
2017-05-01,0.07275
2017-05-02,0.07306
2017-05-03,0.07291
2017-05-04,0.07228
2017-05-05,0.07213
2017-05-08,0.07169
2017-05-09,0.07157
2017-05-10,0.07193
2017-05-11,0.07253
2017-05-12,0.07305
2017-05-15,0.07306
2017-05-16,0.07298
2017-05-17,0.07288
2017-05-18,0.07194
2017-05-19,0.07247
2017-05-23,0.07245
2017-05-24,0.07259
2017-05-25,0.07291
2017-05-26,0.07282
2017-05-29,0.07266
2017-05-30,0.07224
2017-05-31,0.07225
2017-06-01,0.07259
2017-06-02,0.07243
2017-06-05,0.07337
2017-06-06,0.07365
2017-06-07,0.07399
2017-06-08,0.07418
2017-06-09,0.07399
2017-06-12,0.07383
2017-06-13,0.07323
2017-06-14,0.07358
2017-06-15,0.07344
2017-06-16,0.07375
2017-06-19,0.07359
2017-06-20,0.07321
2017-06-21,0.07318
2017-06-22,0.07307
2017-06-23,0.07373
2017-06-26,0.07406
2017-06-27,0.07338
2017-06-28,0.07299
2017-06-29,0.07217
2017-06-30,0.0718
2017-07-04,0.0711
2017-07-05,0.07087
2017-07-06,0.0707
2017-07-07,0.07111
2017-07-10,0.07167
2017-07-11,0.07197
2017-07-12,0.07193
2017-07-13,0.07182
2017-07-14,0.07213
2017-07-17,0.07204
2017-07-18,0.07213
2017-07-19,0.07197
2017-07-20,0.0718
2017-07-21,0.07142
2017-07-24,0.07075
2017-07-25,0.07047
2017-07-26,0.07053
2017-07-27,0.07082
2017-07-28,0.07008
2017-07-31,0.07001
2017-08-01,0.07025
2017-08-02,0.07029
2017-08-03,0.07042
2017-08-04,0.07073
2017-08-08,0.07079
2017-08-09,0.07066
2017-08-10,0.07093
2017-08-11,0.07102
2017-08-14,0.07149
2017-08-15,0.07151
2017-08-16,0.07167
2017-08-17,0.07125
2017-08-18,0.07072
2017-08-21,0.0712
2017-08-22,0.07109
2017-08-23,0.07088
2017-08-24,0.07083
2017-08-25,0.07086
2017-08-28,0.07017
2017-08-29,0.06999
2017-08-30,0.07087
2017-08-31,0.07039
2017-09-01,0.06961
2017-09-05,0.06927
2017-09-06,0.06885
2017-09-07,0.06866
2017-09-08,0.06852
2017-09-11,0.06869
2017-09-12,0.06845
2017-09-13,0.06858
2017-09-14,0.06879
2017-09-15,0.06892
2017-09-18,0.06899
2017-09-19,0.06911
2017-09-20,0.06924
2017-09-21,0.06908
2017-09-22,0.06938
2017-09-25,0.06906
2017-09-26,0.06881
2017-09-27,0.06844
2017-09-28,0.06843
2017-09-29,0.06868
2017-10-02,0.06854
2017-10-03,0.06856
2017-10-04,0.06845
2017-10-05,0.06842
2017-10-06,0.06766
2017-10-10,0.06699
2017-10-11,0.06673
2017-10-12,0.06647
2017-10-13,0.06599
2017-10-16,0.06572
2017-10-17,0.0661
2017-10-18,0.06622
2017-10-19,0.06625
2017-10-20,0.06635
2017-10-23,0.06639
2017-10-24,0.06606
2017-10-25,0.06693
2017-10-26,0.06717
2017-10-27,0.06714
2017-10-30,0.06689
2017-10-31,0.0673
2017-11-01,0.06734
2017-11-02,0.06747
2017-11-03,0.06671
2017-11-06,0.06684
2017-11-07,0.06681
2017-11-08,0.06671
2017-11-09,0.06648
2017-11-10,0.06649
2017-11-14,0.06657
2017-11-15,0.06639
2017-11-16,0.06671
2017-11-17,0.06739
2017-11-20,0.0673
2017-11-21,0.06785
2017-11-22,0.068
2017-11-23,0.06825
2017-11-24,0.06848
2017-11-27,0.06872
2017-11-28,0.06894
2017-11-29,0.06933
2017-11-30,0.06924
2017-12-01,0.06824
2017-12-04,0.06814
2017-12-05,0.06775
2017-12-06,0.06761
2017-12-07,0.06781
2017-12-08,0.06791
2017-12-11,0.06767
2017-12-12,0.06715
2017-12-13,0.06719
2017-12-14,0.06707
2017-12-15,0.06711
2017-12-18,0.06752
2017-12-19,0.06717
2017-12-20,0.06677
2017-12-21,0.06559
2017-12-22,0.06527
2017-12-27,0.06398
2017-12-28,0.06384
2017-12-29,0.0638
2018-01-02,0.06423
2018-01-03,0.06468
2018-01-04,0.0649
2018-01-05,0.0644
2018-01-08,0.06458
2018-01-09,0.06458
2018-01-10,0.06486
2018-01-11,0.06482
2018-01-12,0.06561
2018-01-15,0.06598
2018-01-16,0.06602
2018-01-17,0.06658
2018-01-18,0.06676
2018-01-19,0.06701
2018-01-22,0.06665
2018-01-23,0.06627
2018-01-24,0.06665
2018-01-25,0.06669
2018-01-26,0.06656
2018-01-29,0.06627
2018-01-30,0.06596
2018-01-31,0.06601
2018-02-01,0.06668
2018-02-02,0.06684
2018-02-05,0.06703
2018-02-06,0.06699
2018-02-07,0.06715
2018-02-08,0.06678
2018-02-09,0.06701
2018-02-12,0.06762
2018-02-13,0.06762
2018-02-14,0.06749
2018-02-15,0.06756
2018-02-16,0.0678
2018-02-20,0.0676
2018-02-21,0.0678
2018-02-22,0.06809
2018-02-23,0.06826
2018-02-26,0.06799
2018-02-27,0.06787
2018-02-28,0.06807
2018-03-01,0.06808
2018-03-02,0.06826
2018-03-05,0.06872
2018-03-06,0.0689
2018-03-07,0.06894
2018-03-08,0.06912
2018-03-09,0.06907
2018-03-12,0.06887
2018-03-13,0.06955
2018-03-14,0.06966
2018-03-15,0.06966
2018-03-16,0.0699
2018-03-19,0.06974
2018-03-20,0.06969
2018-03-21,0.06984
2018-03-22,0.06971
2018-03-23,0.06934
2018-03-26,0.07023
2018-03-27,0.07007
2018-03-28,0.07048
2018-03-29,0.07074
2018-04-02,0.07058
2018-04-03,0.0704
2018-04-04,0.07028
2018-04-05,0.07044
2018-04-06,0.06978
2018-04-09,0.06959
2018-04-10,0.06902
2018-04-11,0.06903
2018-04-12,0.06939
2018-04-13,0.06965
2018-04-16,0.06978
2018-04-17,0.0698
2018-04-18,0.06997
2018-04-19,0.069
2018-04-20,0.06851
2018-04-23,0.06812
2018-04-24,0.06809
2018-04-25,0.06775
2018-04-26,0.06824
2018-04-27,0.0688
2018-04-30,0.06847
2018-05-01,0.06827
2018-05-02,0.06748
2018-05-03,0.0674
2018-05-04,0.06702
2018-05-07,0.06626
2018-05-08,0.06624
2018-05-09,0.06574
2018-05-10,0.0662
2018-05-11,0.06612
2018-05-14,0.06551
2018-05-15,0.0652
2018-05-16,0.0651
2018-05-17,0.06498
2018-05-18,0.06468
2018-05-22,0.06475
2018-05-23,0.06526
2018-05-24,0.06547
2018-05-25,0.06629
2018-05-28,0.06638
2018-05-29,0.06584
2018-05-30,0.06533
2018-05-31,0.06486
2018-06-01,0.06517
2018-06-04,0.06468
2018-06-05,0.06379
2018-06-06,0.06357
2018-06-07,0.06336
2018-06-08,0.06336
2018-06-11,0.06341
2018-06-12,0.06306
2018-06-13,0.06286
2018-06-14,0.06306
2018-06-15,0.06362
2018-06-18,0.06401
2018-06-19,0.06457
2018-06-20,0.06525
2018-06-21,0.06547
2018-06-22,0.0662
2018-06-25,0.06634
2018-06-26,0.06693
2018-06-27,0.06628
2018-06-28,0.06678
2018-06-29,0.0667
2018-07-03,0.06714
2018-07-04,0.06763
2018-07-05,0.06821
2018-07-06,0.06868
2018-07-09,0.0684
2018-07-10,0.06901
2018-07-11,0.06926
2018-07-12,0.06978
2018-07-13,0.06957
2018-07-16,0.06974
2018-07-17,0.06986
2018-07-18,0.06979
2018-07-19,0.06951
2018-07-20,0.06903
2018-07-23,0.06904
2018-07-24,0.06973
2018-07-25,0.06978
2018-07-26,0.07005
2018-07-27,0.07027
2018-07-30,0.07022
2018-07-31,0.06989
2018-08-01,0.06987
2018-08-02,0.06978
2018-08-03,0.06985
2018-08-07,0.07053
2018-08-08,0.07068
2018-08-09,0.06997
2018-08-10,0.06926
2018-08-13,0.0685
2018-08-14,0.06898
2018-08-15,0.06845
2018-08-16,0.06912
2018-08-17,0.06869
2018-08-20,0.0687
2018-08-21,0.06902
2018-08-22,0.06916
2018-08-23,0.06922
2018-08-24,0.06907
2018-08-27,0.0694
2018-08-28,0.06832
2018-08-29,0.06788
2018-08-30,0.0679
2018-08-31,0.06818
2018-09-04,0.06804
2018-09-05,0.06789
2018-09-06,0.06828
2018-09-07,0.06834
2018-09-10,0.06823
2018-09-11,0.06821
2018-09-12,0.06825
2018-09-13,0.06891
2018-09-14,0.0691
2018-09-17,0.06912
2018-09-18,0.06918
2018-09-19,0.06901
2018-09-20,0.06859
2018-09-21,0.06854
2018-09-24,0.06852
2018-09-25,0.06814
2018-09-26,0.06859
2018-09-27,0.06931
2018-09-28,0.06912
2018-10-01,0.06863
2018-10-02,0.06828
2018-10-03,0.06812
2018-10-04,0.06752
2018-10-05,0.06834
2018-10-09,0.06816
2018-10-10,0.06804
2018-10-11,0.06855
2018-10-12,0.06893
2018-10-15,0.06906
2018-10-16,0.06895
2018-10-17,0.06904
2018-10-18,0.06842
2018-10-19,0.06822
2018-10-22,0.06769
2018-10-23,0.06761
2018-10-24,0.0669
2018-10-25,0.06719
2018-10-26,0.06734
2018-10-29,0.06616
2018-10-30,0.0656
2018-10-31,0.06479
2018-11-01,0.06501
2018-11-02,0.06547
2018-11-05,0.06557
2018-11-06,0.06621
2018-11-07,0.06606
2018-11-08,0.06542
2018-11-09,0.06512
2018-11-13,0.06461
2018-11-14,0.06492
2018-11-15,0.06495
2018-11-16,0.06518
2018-11-19,0.06476
2018-11-20,0.06491
2018-11-21,0.06561
2018-11-22,0.06509
2018-11-23,0.06489
2018-11-26,0.06442
2018-11-27,0.06492
2018-11-28,0.06536
2018-11-29,0.06559
2018-11-30,0.06537
2018-12-03,0.06522
2018-12-04,0.06452
2018-12-05,0.06506
2018-12-06,0.06555
2018-12-07,0.06565
2018-12-10,0.06581
2018-12-11,0.06622
2018-12-12,0.06651
2018-12-13,0.06602
2018-12-14,0.06582
2018-12-17,0.06664
2018-12-18,0.06693
2018-12-19,0.06713
2018-12-20,0.06784
2018-12-21,0.06808
2018-12-24,0.06846
2018-12-27,0.06915
2018-12-28,0.06934
2018-12-31,0.06942
2019-01-02,0.06941
2019-01-03,0.06885
2019-01-04,0.06879
2019-01-07,0.06884
2019-01-08,0.06871
2019-01-09,0.06872
2019-01-10,0.06902
2019-01-11,0.06928
2019-01-14,0.06972
2019-01-15,0.06973
2019-01-16,0.06983
2019-01-17,0.06983
2019-01-18,0.06952
2019-01-21,0.06934
2019-01-22,0.06962
2019-01-23,0.06995
2019-01-24,0.07023
2019-01-25,0.06996
2019-01-28,0.06964
2019-01-29,0.06981
2019-01-30,0.06893
2019-01-31,0.06893
2019-02-01,0.06849
2019-02-04,0.06871
2019-02-05,0.0689
2019-02-06,0.06901
2019-02-07,0.06956
2019-02-08,0.06959
2019-02-11,0.0691
2019-02-12,0.06878
2019-02-13,0.06826
2019-02-14,0.06874
2019-02-15,0.06866
2019-02-19,0.06903
2019-02-20,0.06864
2019-02-21,0.06851
2019-02-22,0.0688
2019-02-25,0.06893
2019-02-26,0.06887
2019-02-27,0.06848
2019-02-28,0.06841
2019-03-01,0.06872
2019-03-04,0.06894
2019-03-05,0.06929
2019-03-06,0.06935
2019-03-07,0.06886
2019-03-08,0.06882
